"COUNTOFCATALOGEDITEM","LINKTOSPECIMENS","PHYLORDER"
"19","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Pterocliformes","Pterocliformes"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Pterosauria","Pterosauria"
"13","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Rajiformes","Rajiformes"
"18","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Rheiformes","Rheiformes"
"3","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Rhynchocephalia","Rhynchocephalia"
"180610","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Rodentia","Rodentia"
"5","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Salmoniformes","Salmoniformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Sauria","Sauria"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Saurischia","Saurischia"
"34","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Scandentia","Scandentia"
"4","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Scorpaeniformes","Scorpaeniformes"
"13","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Serpentes","Serpentes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Siluriformes","Siluriformes"
"9","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Sirenia","Sirenia"
"12544","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Soricomorpha","Soricomorpha"
"104","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Sphenisciformes","Sphenisciformes"
